ID,Card,Rarity,Pack,Aidan,Action,,Megan,Action,,AJ,Action,,Roan,Action,,Abby,Action
141,Mankey,1d,GA,2,0,,1,0,,0,0,,0,0,,0,0
142,Primeape,2d,GA,2,0,,1,0,,1,0,,0,0,,0,0
143,Machop,1d,GA,2,0,,3,1,,0,0,,0,0,,0,0
144,Machoke,2d,GA,1,0,,1,0,,0,0,,0,0,,0,0
145,Machamp,3d,GA,1,0,,1,0,,1,0,,0,0,,0,0
146,Machamp Ex,4d,GA,2,0,,3,2,,1,0,,0,0,,2,0
147,Geodude,1d,GA,6,4,,4,2,,4,2,,0,0,,0,0
148,Graveler,2d,GA,4,2,,3,,,4,2,,0,0,,0,0
149,Golem,3d,GA,0,0,,1,0,,1,0,,0,0,,0,0
150,Onix,2d,GA,4,2,,3,1,,4,2,,0,0,,0,0
151,Cubone,1d,GA,5,3,,3,1,,3,1,,0,0,,2,0
152,Marowak,2d,GA,1,0,,1,0,,1,0,,0,0,,0,0
153,Marowak Ex,4d,GA,4,2,,0,0,,0,0,,0,0,,2,0
154,Hitmonlee,1d,GA,2,0,,0,0,,3,1,,0,0,,0,0
155,Hitmonchan,1d,GA,4,2,,2,1,,3,1,,0,0,,1,0
156,Rhyhorn ,1d,GA,5,3,,0,0,,1,0,,0,0,,1,0
157,Rhydon,2d,GA,1,0,,1,0,,0,0,,0,0,,0,0
158,Kabuto,2d,GA,4,2,,3,1,,1,0,,0,0,,0,0
159,Kabutops,3d,GA,1,0,,0,0,,1,0,,0,0,,0,0
160,Mienfoo,1d,GA,4,2,,4,2,,3,1,,0,0,,3,1
161,Mienshao,2d,GA,3,1,,5,3,,3,1,,0,0,,0,0
162,Clobbopus,1d,GA,2,0,,8,6,,6,4,,0,0,,1,0
163,Grappclot,2d,GA,4,2,,6,4,,4,2,,0,0,,0,0
164,Ekans,1d,GA,6,4,,7,5,,5,3,,0,0,,1,0
165,Arbok,2d,GA,4,2,,13,11,,5,3,,0,0,,0,0
166,Nidoran,1d,GA,2,0,,3,,,4,2,,0,0,,1,0
167,Nidorina,2d,GA,0,0,,1,0,,1,0,,0,0,,0,0
168,Nidoqueen,3d,GA,3,1,,2,1,,0,0,,0,0,,0,0
169,Nidoran,1d,GA,4,2,,5,3,,4,2,,0,0,,0,0
170,Nidornio,2d,GA,3,1,,1,0,,2,0,,0,0,,0,0
171,Nidoking,3d,GA,3,1,,2,1,,0,0,,0,0,,0,0
172,Zubat,1d,GA,3,1,,9,7,,2,0,,0,0,,0,0
